"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Nevada"	"32"	"2018"	"2018"	"Feb., 2018"	"2018/02"	1931	Not Applicable	Not Applicable
	"Nevada"	"32"	"2018"	"2018"	"Mar., 2018"	"2018/03"	2213	Not Applicable	Not Applicable
"Total"	"Nevada"	"32"	"2018"	"2018"			4144	Not Applicable	Not Applicable
"Total"	"Nevada"	"32"					23801	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"2013"	"2013"	"Feb., 2013"	"2013/02"	938	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"2013"	"2013"	"Mar., 2013"	"2013/03"	952	Not Applicable	Not Applicable
"Total"	"New Hampshire"	"33"	"2013"	"2013"			1890	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"2014"	"2014"	"Feb., 2014"	"2014/02"	931	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"2014"	"2014"	"Mar., 2014"	"2014/03"	972	Not Applicable	Not Applicable
"Total"	"New Hampshire"	"33"	"2014"	"2014"			1903	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"2015"	"2015"	"Feb., 2015"	"2015/02"	1092	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"2015"	"2015"	"Mar., 2015"	"2015/03"	1043	Not Applicable	Not Applicable
"Total"	"New Hampshire"	"33"	"2015"	"2015"			2135	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"2016"	"2016"	"Feb., 2016"	"2016/02"	1063	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"2016"	"2016"	"Mar., 2016"	"2016/03"	1080	Not Applicable	Not Applicable
"Total"	"New Hampshire"	"33"	"2016"	"2016"			2143	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"2017"	"2017"	"Feb., 2017"	"2017/02"	1058	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"2017"	"2017"	"Mar., 2017"	"2017/03"	1164	Not Applicable	Not Applicable
"Total"	"New Hampshire"	"33"	"2017"	"2017"			2222	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"2018"	"2018"	"Feb., 2018"	"2018/02"	1105	Not Applicable	Not Applicable
	"New Hampshire"	"33"	"2018"	"2018"	"Mar., 2018"	"2018/03"	1060	Not Applicable	Not Applicable
"Total"	"New Hampshire"	"33"	"2018"	"2018"			2165	Not Applicable	Not Applicable
"Total"	"New Hampshire"	"33"					12458	Not Applicable	Not Applicable
	"New Jersey"	"34"	"2013"	"2013"	"Feb., 2013"	"2013/02"	6106	Not Applicable	Not Applicable
	"New Jersey"	"34"	"2013"	"2013"	"Mar., 2013"	"2013/03"	6446	Not Applicable	Not Applicable
"Total"	"New Jersey"	"34"	"2013"	"2013"			12552	Not Applicable	Not Applicable
	"New Jersey"	"34"	"2014"	"2014"	"Feb., 2014"	"2014/02"	5825	Not Applicable	Not Applicable
	"New Jersey"	"34"	"2014"	"2014"	"Mar., 2014"	"2014/03"	6345	Not Applicable	Not Applicable
"Total"	"New Jersey"	"34"	"2014"	"2014"			12170	Not Applicable	Not Applicable
	"New Jersey"	"34"	"2015"	"2015"	"Feb., 2015"	"2015/02"	6379	Not Applicable	Not Applicable
	"New Jersey"	"34"	"2015"	"2015"	"Mar., 2015"	"2015/03"	6561	Not Applicable	Not Applicable
"Total"	"New Jersey"	"34"	"2015"	"2015"			12940	Not Applicable	Not Applicable
	"New Jersey"	"34"	"2016"	"2016"	"Feb., 2016"	"2016/02"	6056	Not Applicable	Not Applicable
	"New Jersey"	"34"	"2016"	"2016"	"Mar., 2016"	"2016/03"	6542	Not Applicable	Not Applicable
"Total"	"New Jersey"	"34"	"2016"	"2016"			12598	Not Applicable	Not Applicable
	"New Jersey"	"34"	"2017"	"2017"	"Feb., 2017"	"2017/02"	6400	Not Applicable	Not Applicable
	"New Jersey"	"34"	"2017"	"2017"	"Mar., 2017"	"2017/03"	6761	Not Applicable	Not Applicable
"Total"	"New Jersey"	"34"	"2017"	"2017"			13161	Not Applicable	Not Applicable
	"New Jersey"	"34"	"2018"	"2018"	"Feb., 2018"	"2018/02"	6452	Not Applicable	Not Applicable
	"New Jersey"	"34"	"2018"	"2018"	"Mar., 2018"	"2018/03"	6680	Not Applicable	Not Applicable
"Total"	"New Jersey"	"34"	"2018"	"2018"			13132	Not Applicable	Not Applicable
"Total"	"New Jersey"	"34"					76553	Not Applicable	Not Applicable
	"New Mexico"	"35"	"2013"	"2013"	"Feb., 2013"	"2013/02"	1399	Not Applicable	Not Applicable
	"New Mexico"	"35"	"2013"	"2013"	"Mar., 2013"	"2013/03"	1542	Not Applicable	Not Applicable
"Total"	"New Mexico"	"35"	"2013"	"2013"			2941	Not Applicable	Not Applicable
	"New Mexico"	"35"	"2014"	"2014"	"Feb., 2014"	"2014/02"	1474	Not Applicable	Not Applicable
	"New Mexico"	"35"	"2014"	"2014"	"Mar., 2014"	"2014/03"	1545	Not Applicable	Not Applicable
"Total"	"New Mexico"	"35"	"2014"	"2014"			3019	Not Applicable	Not Applicable
	"New Mexico"	"35"	"2015"	"2015"	"Feb., 2015"	"2015/02"	1443	Not Applicable	Not Applicable
	"New Mexico"	"35"	"2015"	"2015"	"Mar., 2015"	"2015/03"	1598	Not Applicable	Not Applicable
"Total"	"New Mexico"	"35"	"2015"	"2015"			3041	Not Applicable	Not Applicable
	"New Mexico"	"35"	"2016"	"2016"	"Feb., 2016"	"2016/02"	1563	Not Applicable	Not Applicable
	"New Mexico"	"35"	"2016"	"2016"	"Mar., 2016"	"2016/03"	1765	Not Applicable	Not Applicable
"Total"	"New Mexico"	"35"	"2016"	"2016"			3328	Not Applicable	Not Applicable
	"New Mexico"	"35"	"2017"	"2017"	"Feb., 2017"	"2017/02"	1652	Not Applicable	Not Applicable
	"New Mexico"	"35"	"2017"	"2017"	"Mar., 2017"	"2017/03"	1679	Not Applicable	Not Applicable
"Total"	"New Mexico"	"35"	"2017"	"2017"			3331	Not Applicable	Not Applicable
	"New Mexico"	"35"	"2018"	"2018"	"Feb., 2018"	"2018/02"	1621	Not Applicable	Not Applicable
	"New Mexico"	"35"	"2018"	"2018"	"Mar., 2018"	"2018/03"	1692	Not Applicable	Not Applicable
"Total"	"New Mexico"	"35"	"2018"	"2018"			3313	Not Applicable	Not Applicable
"Total"	"New Mexico"	"35"					18973	Not Applicable	Not Applicable
	"New York"	"36"	"2013"	"2013"	"Feb., 2013"	"2013/02"	12666	Not Applicable	Not Applicable
	"New York"	"36"	"2013"	"2013"	"Mar., 2013"	"2013/03"	13382	Not Applicable	Not Applicable
"Total"	"New York"	"36"	"2013"	"2013"			26048	Not Applicable	Not Applicable
	"New York"	"36"	"2014"	"2014"	"Feb., 2014"	"2014/02"	12351	Not Applicable	Not Applicable
	"New York"	"36"	"2014"	"2014"	"Mar., 2014"	"2014/03"	13192	Not Applicable	Not Applicable
"Total"	"New York"	"36"	"2014"	"2014"			25543	Not Applicable	Not Applicable
	"New York"	"36"	"2015"	"2015"	"Feb., 2015"	"2015/02"	13486	Not Applicable	Not Applicable
	"New York"	"36"	"2015"	"2015"	"Mar., 2015"	"2015/03"	14067	Not Applicable	Not Applicable
"Total"	"New York"	"36"	"2015"	"2015"			27553	Not Applicable	Not Applicable
	"New York"	"36"	"2016"	"2016"	"Feb., 2016"	"2016/02"	12972	Not Applicable	Not Applicable
	"New York"	"36"	"2016"	"2016"	"Mar., 2016"	"2016/03"	13964	Not Applicable	Not Applicable
"Total"	"New York"	"36"	"2016"	"2016"			26936	Not Applicable	Not Applicable
	"New York"	"36"	"2017"	"2017"	"Feb., 2017"	"2017/02"	12885	Not Applicable	Not Applicable
	"New York"	"36"	"2017"	"2017"	"Mar., 2017"	"2017/03"	13752	Not Applicable	Not Applicable
"Total"	"New York"	"36"	"2017"	"2017"			26637	Not Applicable	Not Applicable
	"New York"	"36"	"2018"	"2018"	"Feb., 2018"	"2018/02"	13326	Not Applicable	Not Applicable
	"New York"	"36"	"2018"	"2018"	"Mar., 2018"	"2018/03"	13810	Not Applicable	Not Applicable
"Total"	"New York"	"36"	"2018"	"2018"			27136	Not Applicable	Not Applicable
"Total"	"New York"	"36"					159853	Not Applicable	Not Applicable
	"North Carolina"	"37"	"2013"	"2013"	"Feb., 2013"	"2013/02"	6815	Not Applicable	Not Applicable
	"North Carolina"	"37"	"2013"	"2013"	"Mar., 2013"	"2013/03"	7537	Not Applicable	Not Applicable
"Total"	"North Carolina"	"37"	"2013"	"2013"			14352	Not Applicable	Not Applicable
	"North Carolina"	"37"	"2014"	"2014"	"Feb., 2014"	"2014/02"	6948	Not Applicable	Not Applicable
	"North Carolina"	"37"	"2014"	"2014"	"Mar., 2014"	"2014/03"	7443	Not Applicable	Not Applicable
"Total"	"North Carolina"	"37"	"2014"	"2014"			14391	Not Applicable	Not Applicable
	"North Carolina"	"37"	"2015"	"2015"	"Feb., 2015"	"2015/02"	7602	Not Applicable	Not Applicable
	"North Carolina"	"37"	"2015"	"2015"	"Mar., 2015"	"2015/03"	8094	Not Applicable	Not Applicable
"Total"	"North Carolina"	"37"	"2015"	"2015"			15696	Not Applicable	Not Applicable
	"North Carolina"	"37"	"2016"	"2016"	"Feb., 2016"	"2016/02"	7638	Not Applicable	Not Applicable
	"North Carolina"	"37"	"2016"	"2016"	"Mar., 2016"	"2016/03"	7999	Not Applicable	Not Applicable
"Total"	"North Carolina"	"37"	"2016"	"2016"			15637	Not Applicable	Not Applicable
	"North Carolina"	"37"	"2017"	"2017"	"Feb., 2017"	"2017/02"	7644	Not Applicable	Not Applicable
	"North Carolina"	"37"	"2017"	"2017"	"Mar., 2017"	"2017/03"	8768	Not Applicable	Not Applicable
"Total"	"North Carolina"	"37"	"2017"	"2017"			16412	Not Applicable	Not Applicable
	"North Carolina"	"37"	"2018"	"2018"	"Feb., 2018"	"2018/02"	7828	Not Applicable	Not Applicable
	"North Carolina"	"37"	"2018"	"2018"	"Mar., 2018"	"2018/03"	8041	Not Applicable	Not Applicable
"Total"	"North Carolina"	"37"	"2018"	"2018"			15869	Not Applicable	Not Applicable
"Total"	"North Carolina"	"37"					92357	Not Applicable	Not Applicable
	"North Dakota"	"38"	"2013"	"2013"	"Feb., 2013"	"2013/02"	509	Not Applicable	Not Applicable
	"North Dakota"	"38"	"2013"	"2013"	"Mar., 2013"	"2013/03"	526	Not Applicable	Not Applicable
"Total"	"North Dakota"	"38"	"2013"	"2013"			1035	Not Applicable	Not Applicable
	"North Dakota"	"38"	"2014"	"2014"	"Feb., 2014"	"2014/02"	493	Not Applicable	Not Applicable
	"North Dakota"	"38"	"2014"	"2014"	"Mar., 2014"	"2014/03"	569	Not Applicable	Not Applicable
"Total"	"North Dakota"	"38"	"2014"	"2014"			1062	Not Applicable	Not Applicable
	"North Dakota"	"38"	"2015"	"2015"	"Feb., 2015"	"2015/02"	491	Not Applicable	Not Applicable
	"North Dakota"	"38"	"2015"	"2015"	"Mar., 2015"	"2015/03"	570	Not Applicable	Not Applicable
"Total"	"North Dakota"	"38"	"2015"	"2015"			1061	Not Applicable	Not Applicable
	"North Dakota"	"38"	"2016"	"2016"	"Feb., 2016"	"2016/02"	499	Not Applicable	Not Applicable
	"North Dakota"	"38"	"2016"	"2016"	"Mar., 2016"	"2016/03"	561	Not Applicable	Not Applicable
"Total"	"North Dakota"	"38"	"2016"	"2016"			1060	Not Applicable	Not Applicable
	"North Dakota"	"38"	"2017"	"2017"	"Feb., 2017"	"2017/02"	520	Not Applicable	Not Applicable
	"North Dakota"	"38"	"2017"	"2017"	"Mar., 2017"	"2017/03"	569	Not Applicable	Not Applicable
"Total"	"North Dakota"	"38"	"2017"	"2017"			1089	Not Applicable	Not Applicable
	"North Dakota"	"38"	"2018"	"2018"	"Feb., 2018"	"2018/02"	516	Not Applicable	Not Applicable
	"North Dakota"	"38"	"2018"	"2018"	"Mar., 2018"	"2018/03"	558	Not Applicable	Not Applicable
"Total"	"North Dakota"	"38"	"2018"	"2018"			1074	Not Applicable	Not Applicable
"Total"	"North Dakota"	"38"					6381	Not Applicable	Not Applicable
	"Ohio"	"39"	"2013"	"2013"	"Feb., 2013"	"2013/02"	9410	Not Applicable	Not Applicable
	"Ohio"	"39"	"2013"	"2013"	"Mar., 2013"	"2013/03"	10361	Not Applicable	Not Applicable
"Total"	"Ohio"	"39"	"2013"	"2013"			19771	Not Applicable	Not Applicable
	"Ohio"	"39"	"2014"	"2014"	"Feb., 2014"	"2014/02"	9155	Not Applicable	Not Applicable
	"Ohio"	"39"	"2014"	"2014"	"Mar., 2014"	"2014/03"	9952	Not Applicable	Not Applicable
"Total"	"Ohio"	"39"	"2014"	"2014"			19107	Not Applicable	Not Applicable
	"Ohio"	"39"	"2015"	"2015"	"Feb., 2015"	"2015/02"	9830	Not Applicable	Not Applicable
	"Ohio"	"39"	"2015"	"2015"	"Mar., 2015"	"2015/03"	10319	Not Applicable	Not Applicable
"Total"	"Ohio"	"39"	"2015"	"2015"			20149	Not Applicable	Not Applicable
	"Ohio"	"39"	"2016"	"2016"	"Feb., 2016"	"2016/02"	9838	Not Applicable	Not Applicable
	"Ohio"	"39"	"2016"	"2016"	"Mar., 2016"	"2016/03"	10696	Not Applicable	Not Applicable
"Total"	"Ohio"	"39"	"2016"	"2016"			20534	Not Applicable	Not Applicable
	"Ohio"	"39"	"2017"	"2017"	"Feb., 2017"	"2017/02"	10370	Not Applicable	Not Applicable
	"Ohio"	"39"	"2017"	"2017"	"Mar., 2017"	"2017/03"	11259	Not Applicable	Not Applicable
"Total"	"Ohio"	"39"	"2017"	"2017"			21629	Not Applicable	Not Applicable
	"Ohio"	"39"	"2018"	"2018"	"Feb., 2018"	"2018/02"	10167	Not Applicable	Not Applicable
	"Ohio"	"39"	"2018"	"2018"	"Mar., 2018"	"2018/03"	10599	Not Applicable	Not Applicable
"Total"	"Ohio"	"39"	"2018"	"2018"			20766	Not Applicable	Not Applicable
"Total"	"Ohio"	"39"					121956	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"2013"	"2013"	"Feb., 2013"	"2013/02"	3258	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"2013"	"2013"	"Mar., 2013"	"2013/03"	3392	Not Applicable	Not Applicable
"Total"	"Oklahoma"	"40"	"2013"	"2013"			6650	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"2014"	"2014"	"Feb., 2014"	"2014/02"	3188	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"2014"	"2014"	"Mar., 2014"	"2014/03"	3574	Not Applicable	Not Applicable
"Total"	"Oklahoma"	"40"	"2014"	"2014"			6762	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"2015"	"2015"	"Feb., 2015"	"2015/02"	3389	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"2015"	"2015"	"Mar., 2015"	"2015/03"	3636	Not Applicable	Not Applicable
"Total"	"Oklahoma"	"40"	"2015"	"2015"			7025	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"2016"	"2016"	"Feb., 2016"	"2016/02"	3311	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"2016"	"2016"	"Mar., 2016"	"2016/03"	3503	Not Applicable	Not Applicable
"Total"	"Oklahoma"	"40"	"2016"	"2016"			6814	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"2017"	"2017"	"Feb., 2017"	"2017/02"	3484	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"2017"	"2017"	"Mar., 2017"	"2017/03"	3598	Not Applicable	Not Applicable
"Total"	"Oklahoma"	"40"	"2017"	"2017"			7082	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"2018"	"2018"	"Feb., 2018"	"2018/02"	3608	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"2018"	"2018"	"Mar., 2018"	"2018/03"	3536	Not Applicable	Not Applicable
"Total"	"Oklahoma"	"40"	"2018"	"2018"			7144	Not Applicable	Not Applicable
"Total"	"Oklahoma"	"40"					41477	Not Applicable	Not Applicable
	"Oregon"	"41"	"2013"	"2013"	"Feb., 2013"	"2013/02"	2846	Not Applicable	Not Applicable
	"Oregon"	"41"	"2013"	"2013"	"Mar., 2013"	"2013/03"	3066	Not Applicable	Not Applicable
"Total"	"Oregon"	"41"	"2013"	"2013"			5912	Not Applicable	Not Applicable
	"Oregon"	"41"	"2014"	"2014"	"Feb., 2014"	"2014/02"	2737	Not Applicable	Not Applicable
	"Oregon"	"41"	"2014"	"2014"	"Mar., 2014"	"2014/03"	2976	Not Applicable	Not Applicable
"Total"	"Oregon"	"41"	"2014"	"2014"			5713	Not Applicable	Not Applicable
	"Oregon"	"41"	"2015"	"2015"	"Feb., 2015"	"2015/02"	2974	Not Applicable	Not Applicable
	"Oregon"	"41"	"2015"	"2015"	"Mar., 2015"	"2015/03"	3091	Not Applicable	Not Applicable
"Total"	"Oregon"	"41"	"2015"	"2015"			6065	Not Applicable	Not Applicable
	"Oregon"	"41"	"2016"	"2016"	"Feb., 2016"	"2016/02"	2883	Not Applicable	Not Applicable
	"Oregon"	"41"	"2016"	"2016"	"Mar., 2016"	"2016/03"	3229	Not Applicable	Not Applicable
"Total"	"Oregon"	"41"	"2016"	"2016"			6112	Not Applicable	Not Applicable
	"Oregon"	"41"	"2017"	"2017"	"Feb., 2017"	"2017/02"	3050	Not Applicable	Not Applicable
	"Oregon"	"41"	"2017"	"2017"	"Mar., 2017"	"2017/03"	3172	Not Applicable	Not Applicable
"Total"	"Oregon"	"41"	"2017"	"2017"			6222	Not Applicable	Not Applicable
	"Oregon"	"41"	"2018"	"2018"	"Feb., 2018"	"2018/02"	2819	Not Applicable	Not Applicable
	"Oregon"	"41"	"2018"	"2018"	"Mar., 2018"	"2018/03"	3297	Not Applicable	Not Applicable
"Total"	"Oregon"	"41"	"2018"	"2018"			6116	Not Applicable	Not Applicable
"Total"	"Oregon"	"41"					36140	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"2013"	"2013"	"Feb., 2013"	"2013/02"	11182	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"2013"	"2013"	"Mar., 2013"	"2013/03"	11799	Not Applicable	Not Applicable
"Total"	"Pennsylvania"	"42"	"2013"	"2013"			22981	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"2014"	"2014"	"Feb., 2014"	"2014/02"	10532	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"2014"	"2014"	"Mar., 2014"	"2014/03"	11286	Not Applicable	Not Applicable
"Total"	"Pennsylvania"	"42"	"2014"	"2014"			21818	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"2015"	"2015"	"Feb., 2015"	"2015/02"	11581	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"2015"	"2015"	"Mar., 2015"	"2015/03"	12275	Not Applicable	Not Applicable
"Total"	"Pennsylvania"	"42"	"2015"	"2015"			23856	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"2016"	"2016"	"Feb., 2016"	"2016/02"	11144	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"2016"	"2016"	"Mar., 2016"	"2016/03"	11855	Not Applicable	Not Applicable
"Total"	"Pennsylvania"	"42"	"2016"	"2016"			22999	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"2017"	"2017"	"Feb., 2017"	"2017/02"	11547	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"2017"	"2017"	"Mar., 2017"	"2017/03"	12419	Not Applicable	Not Applicable
"Total"	"Pennsylvania"	"42"	"2017"	"2017"			23966	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"2018"	"2018"	"Feb., 2018"	"2018/02"	11436	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"2018"	"2018"	"Mar., 2018"	"2018/03"	11933	Not Applicable	Not Applicable
"Total"	"Pennsylvania"	"42"	"2018"	"2018"			23369	Not Applicable	Not Applicable
"Total"	"Pennsylvania"	"42"					138989	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"2013"	"2013"	"Feb., 2013"	"2013/02"	794	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"2013"	"2013"	"Mar., 2013"	"2013/03"	892	Not Applicable	Not Applicable
"Total"	"Rhode Island"	"44"	"2013"	"2013"			1686	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"2014"	"2014"	"Feb., 2014"	"2014/02"	794	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"2014"	"2014"	"Mar., 2014"	"2014/03"	878	Not Applicable	Not Applicable
"Total"	"Rhode Island"	"44"	"2014"	"2014"			1672	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"2015"	"2015"	"Feb., 2015"	"2015/02"	890	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"2015"	"2015"	"Mar., 2015"	"2015/03"	936	Not Applicable	Not Applicable
"Total"	"Rhode Island"	"44"	"2015"	"2015"			1826	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"2016"	"2016"	"Feb., 2016"	"2016/02"	857	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"2016"	"2016"	"Mar., 2016"	"2016/03"	855	Not Applicable	Not Applicable
"Total"	"Rhode Island"	"44"	"2016"	"2016"			1712	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"2017"	"2017"	"Feb., 2017"	"2017/02"	900	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"2017"	"2017"	"Mar., 2017"	"2017/03"	927	Not Applicable	Not Applicable
"Total"	"Rhode Island"	"44"	"2017"	"2017"			1827	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"2018"	"2018"	"Feb., 2018"	"2018/02"	813	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"2018"	"2018"	"Mar., 2018"	"2018/03"	821	Not Applicable	Not Applicable
"Total"	"Rhode Island"	"44"	"2018"	"2018"			1634	Not Applicable	Not Applicable
"Total"	"Rhode Island"	"44"					10357	Not Applicable	Not Applicable
	"South Carolina"	"45"	"2013"	"2013"	"Feb., 2013"	"2013/02"	3600	Not Applicable	Not Applicable
	"South Carolina"	"45"	"2013"	"2013"	"Mar., 2013"	"2013/03"	4214	Not Applicable	Not Applicable
"Total"	"South Carolina"	"45"	"2013"	"2013"			7814	Not Applicable	Not Applicable
	"South Carolina"	"45"	"2014"	"2014"	"Feb., 2014"	"2014/02"	3634	Not Applicable	Not Applicable
	"South Carolina"	"45"	"2014"	"2014"	"Mar., 2014"	"2014/03"	3901	Not Applicable	Not Applicable
"Total"	"South Carolina"	"45"	"2014"	"2014"			7535	Not Applicable	Not Applicable
	"South Carolina"	"45"	"2015"	"2015"	"Feb., 2015"	"2015/02"	4023	Not Applicable	Not Applicable
	"South Carolina"	"45"	"2015"	"2015"	"Mar., 2015"	"2015/03"	4274	Not Applicable	Not Applicable
"Total"	"South Carolina"	"45"	"2015"	"2015"			8297	Not Applicable	Not Applicable
	"South Carolina"	"45"	"2016"	"2016"	"Feb., 2016"	"2016/02"	4163	Not Applicable	Not Applicable
	"South Carolina"	"45"	"2016"	"2016"	"Mar., 2016"	"2016/03"	4152	Not Applicable	Not Applicable
"Total"	"South Carolina"	"45"	"2016"	"2016"			8315	Not Applicable	Not Applicable
	"South Carolina"	"45"	"2017"	"2017"	"Feb., 2017"	"2017/02"	3932	Not Applicable	Not Applicable
	"South Carolina"	"45"	"2017"	"2017"	"Mar., 2017"	"2017/03"	4378	Not Applicable	Not Applicable
"Total"	"South Carolina"	"45"	"2017"	"2017"			8310	Not Applicable	Not Applicable
	"South Carolina"	"45"	"2018"	"2018"	"Feb., 2018"	"2018/02"	4244	Not Applicable	Not Applicable
	"South Carolina"	"45"	"2018"	"2018"	"Mar., 2018"	"2018/03"	4446	Not Applicable	Not Applicable
"Total"	"South Carolina"	"45"	"2018"	"2018"			8690	Not Applicable	Not Applicable
"Total"	"South Carolina"	"45"					48961	Not Applicable	Not Applicable
	"South Dakota"	"46"	"2013"	"2013"	"Feb., 2013"	"2013/02"	622	Not Applicable	Not Applicable
	"South Dakota"	"46"	"2013"	"2013"	"Mar., 2013"	"2013/03"	633	Not Applicable	Not Applicable
"Total"	"South Dakota"	"46"	"2013"	"2013"			1255	Not Applicable	Not Applicable
	"South Dakota"	"46"	"2014"	"2014"	"Feb., 2014"	"2014/02"	603	Not Applicable	Not Applicable
	"South Dakota"	"46"	"2014"	"2014"	"Mar., 2014"	"2014/03"	664	Not Applicable	Not Applicable
"Total"	"South Dakota"	"46"	"2014"	"2014"			1267	Not Applicable	Not Applicable
	"South Dakota"	"46"	"2015"	"2015"	"Feb., 2015"	"2015/02"	611	Not Applicable	Not Applicable
	"South Dakota"	"46"	"2015"	"2015"	"Mar., 2015"	"2015/03"	697	Not Applicable	Not Applicable
"Total"	"South Dakota"	"46"	"2015"	"2015"			1308	Not Applicable	Not Applicable
	"South Dakota"	"46"	"2016"	"2016"	"Feb., 2016"	"2016/02"	627	Not Applicable	Not Applicable
	"South Dakota"	"46"	"2016"	"2016"	"Mar., 2016"	"2016/03"	707	Not Applicable	Not Applicable
"Total"	"South Dakota"	"46"	"2016"	"2016"			1334	Not Applicable	Not Applicable
	"South Dakota"	"46"	"2017"	"2017"	"Feb., 2017"	"2017/02"	695	Not Applicable	Not Applicable
	"South Dakota"	"46"	"2017"	"2017"	"Mar., 2017"	"2017/03"	735	Not Applicable	Not Applicable
"Total"	"South Dakota"	"46"	"2017"	"2017"			1430	Not Applicable	Not Applicable
	"South Dakota"	"46"	"2018"	"2018"	"Feb., 2018"	"2018/02"	639	Not Applicable	Not Applicable
	"South Dakota"	"46"	"2018"	"2018"	"Mar., 2018"	"2018/03"	715	Not Applicable	Not Applicable
"Total"	"South Dakota"	"46"	"2018"	"2018"			1354	Not Applicable	Not Applicable
"Total"	"South Dakota"	"46"					7948	Not Applicable	Not Applicable
	"Tennessee"	"47"	"2013"	"2013"	"Feb., 2013"	"2013/02"	5176	Not Applicable	Not Applicable
	"Tennessee"	"47"	"2013"	"2013"	"Mar., 2013"	"2013/03"	5619	Not Applicable	Not Applicable
"Total"	"Tennessee"	"47"	"2013"	"2013"			10795	Not Applicable	Not Applicable
	"Tennessee"	"47"	"2014"	"2014"	"Feb., 2014"	"2014/02"	5208	Not Applicable	Not Applicable
	"Tennessee"	"47"	"2014"	"2014"	"Mar., 2014"	"2014/03"	5504	Not Applicable	Not Applicable
"Total"	"Tennessee"	"47"	"2014"	"2014"			10712	Not Applicable	Not Applicable
	"Tennessee"	"47"	"2015"	"2015"	"Feb., 2015"	"2015/02"	5615	Not Applicable	Not Applicable
	"Tennessee"	"47"	"2015"	"2015"	"Mar., 2015"	"2015/03"	5812	Not Applicable	Not Applicable
"Total"	"Tennessee"	"47"	"2015"	"2015"			11427	Not Applicable	Not Applicable
	"Tennessee"	"47"	"2016"	"2016"	"Feb., 2016"	"2016/02"	5625	Not Applicable	Not Applicable
	"Tennessee"	"47"	"2016"	"2016"	"Mar., 2016"	"2016/03"	5931	Not Applicable	Not Applicable
"Total"	"Tennessee"	"47"	"2016"	"2016"			11556	Not Applicable	Not Applicable
	"Tennessee"	"47"	"2017"	"2017"	"Feb., 2017"	"2017/02"	5731	Not Applicable	Not Applicable
	"Tennessee"	"47"	"2017"	"2017"	"Mar., 2017"	"2017/03"	6371	Not Applicable	Not Applicable
"Total"	"Tennessee"	"47"	"2017"	"2017"			12102	Not Applicable	Not Applicable
	"Tennessee"	"47"	"2018"	"2018"	"Feb., 2018"	"2018/02"	5924	Not Applicable	Not Applicable
	"Tennessee"	"47"	"2018"	"2018"	"Mar., 2018"	"2018/03"	5954	Not Applicable	Not Applicable
"Total"	"Tennessee"	"47"	"2018"	"2018"			11878	Not Applicable	Not Applicable
"Total"	"Tennessee"	"47"					68470	Not Applicable	Not Applicable
